"rank","team","outlet","week","prior_rank","rank_chng"
25,"ARI","PFT",1,NA,NA
26,"ATL","PFT",1,NA,NA
27,"JAX","PFT",1,NA,NA
28,"PHI","PFT",1,NA,NA
29,"CIN","PFT",1,NA,NA
30,"NYJ","PFT",1,NA,NA
31,"DET","PFT",1,NA,NA
32,"HOU","PFT",1,NA,NA
1,"TB","USA",1,NA,NA
2,"KC","USA",1,NA,NA
3,"CLE","USA",1,NA,NA
4,"GB","USA",1,NA,NA
5,"BUF","USA",1,NA,NA
6,"LA","USA",1,NA,NA
7,"TEN","USA",1,NA,NA
8,"BAL","USA",1,NA,NA
9,"SF","USA",1,NA,NA
10,"SEA","USA",1,NA,NA
11,"MIA","USA",1,NA,NA
12,"LAC","USA",1,NA,NA
13,"NE","USA",1,NA,NA
14,"DAL","USA",1,NA,NA
15,"MIN","USA",1,NA,NA
16,"NO","USA",1,NA,NA
17,"PIT","USA",1,NA,NA
18,"DEN","USA",1,NA,NA
19,"WAS","USA",1,NA,NA
20,"IND","USA",1,NA,NA
21,"ARI","USA",1,NA,NA
22,"NYG","USA",1,NA,NA
23,"CAR","USA",1,NA,NA
24,"LV","USA",1,NA,NA
25,"CHI","USA",1,NA,NA
26,"ATL","USA",1,NA,NA
27,"NYJ","USA",1,NA,NA
28,"CIN","USA",1,NA,NA
29,"JAX","USA",1,NA,NA
30,"PHI","USA",1,NA,NA
31,"DET","USA",1,NA,NA
32,"HOU","USA",1,NA,NA
1,"TB","WaPo",1,NA,NA
2,"KC","WaPo",1,NA,NA
3,"BUF","WaPo",1,NA,NA
4,"GB","WaPo",1,NA,NA
5,"LA","WaPo",1,NA,NA
6,"TEN","WaPo",1,NA,NA
7,"CLE","WaPo",1,NA,NA
8,"NE","WaPo",1,NA,NA
9,"BAL","WaPo",1,NA,NA
10,"MIA","WaPo",1,NA,NA
11,"NO","WaPo",1,NA,NA
12,"SF","WaPo",1,NA,NA
13,"SEA","WaPo",1,NA,NA
14,"WAS","WaPo",1,NA,NA
15,"PIT","WaPo",1,NA,NA
16,"DAL","WaPo",1,NA,NA
17,"LAC","WaPo",1,NA,NA
18,"IND","WaPo",1,NA,NA
19,"NYG","WaPo",1,NA,NA
20,"CHI","WaPo",1,NA,NA
21,"MIN","WaPo",1,NA,NA
22,"ARI","WaPo",1,NA,NA
23,"CAR","WaPo",1,NA,NA
24,"LV","WaPo",1,NA,NA
25,"PHI","WaPo",1,NA,NA
26,"ATL","WaPo",1,NA,NA
27,"CIN","WaPo",1,NA,NA
28,"NYJ","WaPo",1,NA,NA
29,"DEN","WaPo",1,NA,NA
30,"JAX","WaPo",1,NA,NA
31,"DET","WaPo",1,NA,NA
32,"HOU","WaPo",1,NA,NA
1,"KC","Yahoo",1,NA,NA
2,"TB","Yahoo",1,NA,NA
3,"BUF","Yahoo",1,NA,NA
4,"GB","Yahoo",1,NA,NA
5,"SF","Yahoo",1,NA,NA
6,"BAL","Yahoo",1,NA,NA
7,"LA","Yahoo",1,NA,NA
8,"SEA","Yahoo",1,NA,NA
9,"TEN","Yahoo",1,NA,NA
10,"CLE","Yahoo",1,NA,NA
11,"MIA","Yahoo",1,NA,NA
12,"NE","Yahoo",1,NA,NA
13,"IND","Yahoo",1,NA,NA
14,"LAC","Yahoo",1,NA,NA
15,"PIT","Yahoo",1,NA,NA
16,"WAS","Yahoo",1,NA,NA
17,"MIN","Yahoo",1,NA,NA
18,"DAL","Yahoo",1,NA,NA
19,"ARI","Yahoo",1,NA,NA
20,"NO","Yahoo",1,NA,NA
21,"DEN","Yahoo",1,NA,NA
22,"LV","Yahoo",1,NA,NA
23,"CHI","Yahoo",1,NA,NA
24,"NYG","Yahoo",1,NA,NA
25,"CAR","Yahoo",1,NA,NA
26,"ATL","Yahoo",1,NA,NA
27,"CIN","Yahoo",1,NA,NA
28,"PHI","Yahoo",1,NA,NA
29,"NYJ","Yahoo",1,NA,NA
30,"JAX","Yahoo",1,NA,NA
31,"DET","Yahoo",1,NA,NA
32,"HOU","Yahoo",1,NA,NA
1,"TB","BR",2,1,0
2,"KC","BR",2,2,0
3,"SEA","BR",2,8,5
4,"CLE","BR",2,4,0
5,"BUF","BR",2,5,0
6,"LA","BR",2,6,0
7,"ARI","BR",2,13,6
8,"PIT","BR",2,16,8
9,"BAL","BR",2,7,-2
10,"NO","BR",2,18,8
11,"LAC","BR",2,15,4
12,"MIA","BR",2,14,2
13,"GB","BR",2,3,-10
14,"SF","BR",2,10,-4
15,"NE","BR",2,11,-4
16,"DAL","BR",2,17,1
17,"TEN","BR",2,9,-8
18,"DEN","BR",2,21,3
19,"IND","BR",2,19,0
20,"WAS","BR",2,12,-8
21,"CIN","BR",2,25,4
22,"PHI","BR",2,27,5
23,"LV","BR",2,23,0
24,"CHI","BR",2,20,-4
25,"MIN","BR",2,22,-3
26,"CAR","BR",2,26,0
27,"HOU","BR",2,32,5
28,"NYG","BR",2,24,-4
29,"NYJ","BR",2,29,0
30,"DET","BR",2,31,1
31,"ATL","BR",2,28,-3
32,"JAX","BR",2,30,-2
1,"TB","CBS",2,1,0
2,"KC","CBS",2,3,1
3,"SF","CBS",2,6,3
4,"LA","CBS",2,8,4
5,"ARI","CBS",2,9,4
6,"NO","CBS",2,19,13
7,"PIT","CBS",2,21,14
8,"SEA","CBS",2,18,10
9,"BUF","CBS",2,2,-7
10,"GB","CBS",2,4,-6
11,"BAL","CBS",2,7,-4
12,"CLE","CBS",2,5,-7
13,"DEN","CBS",2,17,4
14,"MIA","CBS",2,15,1
15,"LAC","CBS",2,20,5
16,"LV","CBS",2,25,9
17,"WAS","CBS",2,13,-4
18,"DAL","CBS",2,14,-4
19,"TEN","CBS",2,10,-9
20,"NE","CBS",2,11,-9
21,"IND","CBS",2,12,-9
22,"PHI","CBS",2,26,4
23,"CAR","CBS",2,28,5
24,"CHI","CBS",2,23,-1
25,"CIN","CBS",2,29,4
26,"MIN","CBS",2,16,-10
27,"NYG","CBS",2,24,-3
28,"HOU","CBS",2,32,4
29,"ATL","CBS",2,22,-7
30,"DET","CBS",2,30,0
31,"NYJ","CBS",2,31,0
32,"JAX","CBS",2,27,-5
1,"KC","ESPN",2,1,0
2,"TB","ESPN",2,2,0
3,"SEA","ESPN",2,8,5
4,"LA","ESPN",2,5,1
5,"BUF","ESPN",2,3,-2
6,"CLE","ESPN",2,7,1
7,"SF","ESPN",2,10,3
8,"PIT","ESPN",2,11,3
9,"NO","ESPN",2,19,10
10,"BAL","ESPN",2,6,-4
11,"GB","ESPN",2,4,-7
12,"ARI","ESPN",2,13,1
13,"DAL","ESPN",2,12,-1
14,"LAC","ESPN",2,15,1
15,"MIA","ESPN",2,16,1
16,"IND","ESPN",2,14,-2
17,"NE","ESPN",2,17,0
18,"TEN","ESPN",2,9,-9
19,"LV","ESPN",2,21,2
20,"DEN","ESPN",2,26,6
21,"PHI","ESPN",2,27,6
22,"WAS","ESPN",2,20,-2
23,"CAR","ESPN",2,25,2
24,"CIN","ESPN",2,28,4
25,"MIN","ESPN",2,18,-7
26,"CHI","ESPN",2,22,-4
27,"ATL","ESPN",2,23,-4
28,"NYG","ESPN",2,24,-4
29,"HOU","ESPN",2,32,3
30,"DET","ESPN",2,31,1
31,"NYJ","ESPN",2,30,-1
32,"JAX","ESPN",2,29,-3
1,"TB","NFL",2,1,0
2,"KC","NFL",2,2,0
3,"LA","NFL",2,6,3
4,"SEA","NFL",2,7,3
5,"PIT","NFL",2,10,5
6,"BUF","NFL",2,3,-3
7,"BAL","NFL",2,5,-2
8,"CLE","NFL",2,8,0
9,"SF","NFL",2,9,0
10,"NO","NFL",2,15,5
11,"LAC","NFL",2,12,1
12,"GB","NFL",2,4,-8
13,"MIA","NFL",2,14,1
14,"ARI","NFL",2,18,4
15,"NE","NFL",2,13,-2
16,"DEN","NFL",2,22,6
17,"PHI","NFL",2,25,8
18,"LV","NFL",2,23,5
19,"DAL","NFL",2,19,0
20,"TEN","NFL",2,11,-9
21,"IND","NFL",2,16,-5
22,"WAS","NFL",2,20,-2
23,"CIN","NFL",2,30,7
24,"MIN","NFL",2,17,-7
25,"CAR","NFL",2,27,2
26,"CHI","NFL",2,21,-5
27,"NYG","NFL",2,24,-3
28,"ATL","NFL",2,26,-2
29,"HOU","NFL",2,32,3
30,"NYJ","NFL",2,28,-2
31,"DET","NFL",2,31,0
32,"JAX","NFL",2,29,-3
1,"TB","PFT",2,1,0
2,"KC","PFT",2,2,0
3,"LA","PFT",2,5,2
4,"NO","PFT",2,9,5
5,"PIT","PFT",2,14,9
6,"BUF","PFT",2,3,-3
7,"CLE","PFT",2,6,-1
8,"LAC","PFT",2,8,0
9,"SF","PFT",2,11,2
10,"SEA","PFT",2,12,2
11,"BAL","PFT",2,7,-4
12,"MIA","PFT",2,16,4
13,"NE","PFT",2,10,-3
14,"ARI","PFT",2,25,11
15,"GB","PFT",2,4,-11
16,"DAL","PFT",2,17,1
17,"LV","PFT",2,21,4
18,"DEN","PFT",2,23,5
19,"TEN","PFT",2,13,-6
20,"CAR","PFT",2,24,4
21,"CIN","PFT",2,29,8
22,"WAS","PFT",2,15,-7
23,"MIN","PFT",2,18,-5
24,"IND","PFT",2,19,-5
25,"PHI","PFT",2,28,3
26,"CHI","PFT",2,20,-6
27,"NYG","PFT",2,22,-5
28,"HOU","PFT",2,32,4
29,"ATL","PFT",2,26,-3
30,"NYJ","PFT",2,30,0
31,"DET","PFT",2,31,0
32,"JAX","PFT",2,27,-5
1,"TB","USA",2,1,0
2,"KC","USA",2,2,0
3,"LA","USA",2,6,3
4,"CLE","USA",2,3,-1
5,"NO","USA",2,16,11
6,"SEA","USA",2,10,4
7,"ARI","USA",2,21,14
8,"PIT","USA",2,17,9
9,"DAL","USA",2,14,5
10,"BUF","USA",2,5,-5
11,"SF","USA",2,9,-2
12,"MIA","USA",2,11,-1
13,"LAC","USA",2,12,-1
14,"GB","USA",2,4,-10
15,"DEN","USA",2,18,3
16,"LV","USA",2,24,8
17,"NE","USA",2,13,-4
18,"BAL","USA",2,8,-10
19,"TEN","USA",2,7,-12
20,"CIN","USA",2,28,8
21,"WAS","USA",2,19,-2
22,"PHI","USA",2,30,8
23,"CAR","USA",2,23,0
24,"MIN","USA",2,15,-9
25,"IND","USA",2,20,-5
26,"CHI","USA",2,25,-1
27,"HOU","USA",2,32,5
28,"NYJ","USA",2,27,-1
29,"DET","USA",2,31,2
30,"NYG","USA",2,22,-8
31,"ATL","USA",2,26,-5
32,"JAX","USA",2,29,-3
1,"TB","WaPo",2,1,0
2,"KC","WaPo",2,2,0
3,"LA","WaPo",2,5,2
4,"NO","WaPo",2,11,7
5,"PIT","WaPo",2,15,10
6,"CLE","WaPo",2,7,1
7,"BUF","WaPo",2,3,-4
8,"MIA","WaPo",2,10,2
9,"SF","WaPo",2,12,3
10,"SEA","WaPo",2,13,3
11,"GB","WaPo",2,4,-7
12,"ARI","WaPo",2,22,10
13,"NE","WaPo",2,8,-5
14,"DAL","WaPo",2,16,2
15,"LAC","WaPo",2,17,2
16,"TEN","WaPo",2,6,-10
17,"CAR","WaPo",2,23,6
18,"LV","WaPo",2,24,6
19,"BAL","WaPo",2,9,-10
20,"PHI","WaPo",2,25,5
21,"CIN","WaPo",2,27,6
22,"DEN","WaPo",2,29,7
23,"WAS","WaPo",2,14,-9
24,"IND","WaPo",2,18,-6
25,"CHI","WaPo",2,20,-5
26,"MIN","WaPo",2,21,-5
27,"HOU","WaPo",2,32,5
28,"NYG","WaPo",2,19,-9
29,"ATL","WaPo",2,26,-3
30,"DET","WaPo",2,31,1
31,"NYJ","WaPo",2,28,-3
32,"JAX","WaPo",2,30,-2
1,"KC","Yahoo",2,1,0
2,"TB","Yahoo",2,2,0
3,"SF","Yahoo",2,5,2
4,"LA","Yahoo",2,7,3
5,"SEA","Yahoo",2,8,3
6,"ARI","Yahoo",2,19,13
7,"NO","Yahoo",2,20,13
8,"PIT","Yahoo",2,15,7
9,"BUF","Yahoo",2,3,-6
10,"LAC","Yahoo",2,14,4
11,"CLE","Yahoo",2,10,-1
12,"BAL","Yahoo",2,6,-6
13,"MIA","Yahoo",2,11,-2
14,"GB","Yahoo",2,4,-10
15,"NE","Yahoo",2,12,-3
16,"DEN","Yahoo",2,21,5
17,"LV","Yahoo",2,22,5
18,"TEN","Yahoo",2,9,-9
19,"DAL","Yahoo",2,18,-1
20,"WAS","Yahoo",2,16,-4
21,"IND","Yahoo",2,13,-8
22,"CAR","Yahoo",2,25,3
23,"PHI","Yahoo",2,28,5
24,"CIN","Yahoo",2,27,3
25,"MIN","Yahoo",2,17,-8
26,"CHI","Yahoo",2,23,-3
27,"NYG","Yahoo",2,24,-3
28,"NYJ","Yahoo",2,29,1
29,"ATL","Yahoo",2,26,-3
30,"DET","Yahoo",2,31,1
31,"HOU","Yahoo",2,32,1
32,"JAX","Yahoo",2,30,-2
1,"TB","BR",3,1,0
2,"KC","BR",3,2,0
3,"LA","BR",3,6,3
4,"ARI","BR",3,7,3
5,"BAL","BR",3,9,4
6,"CLE","BR",3,4,-2
7,"BUF","BR",3,5,-2
8,"SEA","BR",3,3,-5
9,"LAC","BR",3,11,2
10,"SF","BR",3,14,4
11,"DAL","BR",3,16,5
12,"DEN","BR",3,18,6
13,"GB","BR",3,13,0
14,"PIT","BR",3,8,-6
15,"LV","BR",3,23,8
16,"CAR","BR",3,26,10
17,"TEN","BR",3,17,0
18,"NE","BR",3,15,-3
19,"NO","BR",3,10,-9
20,"MIA","BR",3,12,-8
21,"WAS","BR",3,20,-1
22,"PHI","BR",3,22,0
23,"CHI","BR",3,24,1
24,"CIN","BR",3,21,-3
25,"MIN","BR",3,25,0
26,"IND","BR",3,19,-7
27,"HOU","BR",3,27,0
28,"NYG","BR",3,28,0
29,"ATL","BR",3,31,2
30,"DET","BR",3,30,0
31,"NYJ","BR",3,29,-2
32,"JAX","BR",3,32,0
1,"TB","CBS",3,1,0
2,"SF","CBS",3,3,1
3,"LA","CBS",3,4,1
4,"ARI","CBS",3,5,1
5,"KC","CBS",3,2,-3
6,"BUF","CBS",3,9,3
7,"GB","CBS",3,10,3
8,"LV","CBS",3,16,8
9,"BAL","CBS",3,11,2
10,"CLE","CBS",3,12,2
11,"CAR","CBS",3,23,12
12,"DEN","CBS",3,13,1
13,"NO","CBS",3,6,-7
14,"PIT","CBS",3,7,-7
15,"SEA","CBS",3,8,-7
16,"DAL","CBS",3,18,2
17,"TEN","CBS",3,19,2
18,"LAC","CBS",3,15,-3
19,"NE","CBS",3,20,1
20,"MIA","CBS",3,14,-6
21,"WAS","CBS",3,17,-4
22,"IND","CBS",3,21,-1
23,"PHI","CBS",3,22,-1
24,"CHI","CBS",3,24,0
25,"CIN","CBS",3,25,0
26,"MIN","CBS",3,26,0
27,"NYG","CBS",3,27,0
28,"HOU","CBS",3,28,0
29,"ATL","CBS",3,29,0
30,"DET","CBS",3,30,0
31,"NYJ","CBS",3,31,0
32,"JAX","CBS",3,32,0
1,"TB","ESPN",3,2,1
2,"LA","ESPN",3,4,2
3,"KC","ESPN",3,1,-2
4,"SF","ESPN",3,7,3
5,"BUF","ESPN",3,5,0
6,"SEA","ESPN",3,3,-3
7,"ARI","ESPN",3,12,5
8,"CLE","ESPN",3,6,-2
9,"BAL","ESPN",3,10,1
10,"LV","ESPN",3,19,9
11,"GB","ESPN",3,11,0
12,"PIT","ESPN",3,8,-4
13,"DAL","ESPN",3,13,0
14,"DEN","ESPN",3,20,6
15,"CAR","ESPN",3,23,8
16,"TEN","ESPN",3,18,2
17,"NO","ESPN",3,9,-8
18,"LAC","ESPN",3,14,-4
19,"NE","ESPN",3,17,-2
20,"MIA","ESPN",3,15,-5
21,"PHI","ESPN",3,21,0
22,"WAS","ESPN",3,22,0
23,"IND","ESPN",3,16,-7
24,"CHI","ESPN",3,26,2
25,"CIN","ESPN",3,24,-1
26,"MIN","ESPN",3,25,-1
27,"HOU","ESPN",3,29,2
28,"NYG","ESPN",3,28,0
29,"ATL","ESPN",3,27,-2
30,"DET","ESPN",3,30,0
31,"JAX","ESPN",3,32,1
32,"NYJ","ESPN",3,31,-1
1,"TB","NFL",3,1,0
2,"KC","NFL",3,2,0
3,"BAL","NFL",3,7,4
4,"LA","NFL",3,3,-1
5,"BUF","NFL",3,6,1
6,"GB","NFL",3,12,6
7,"SF","NFL",3,9,2
8,"CLE","NFL",3,8,0
9,"SEA","NFL",3,4,-5
10,"ARI","NFL",3,14,4
11,"LV","NFL",3,18,7
12,"PIT","NFL",3,5,-7
13,"DEN","NFL",3,16,3
14,"LAC","NFL",3,11,-3
15,"NE","NFL",3,15,0
16,"TEN","NFL",3,20,4
17,"DAL","NFL",3,19,2
18,"CAR","NFL",3,25,7
19,"NO","NFL",3,10,-9
20,"PHI","NFL",3,17,-3
21,"WAS","NFL",3,22,1
22,"MIA","NFL",3,13,-9
23,"IND","NFL",3,21,-2
24,"MIN","NFL",3,24,0
25,"CHI","NFL",3,26,1
26,"CIN","NFL",3,23,-3
27,"NYG","NFL",3,27,0
28,"HOU","NFL",3,29,1
29,"ATL","NFL",3,28,-1
30,"NYJ","NFL",3,30,0
31,"DET","NFL",3,31,0
32,"JAX","NFL",3,32,0
1,"TB","PFT",3,1,0
2,"LA","PFT",3,3,1
3,"BAL","PFT",3,11,8
4,"KC","PFT",3,2,-2
5,"BUF","PFT",3,6,1
6,"SF","PFT",3,9,3
7,"ARI","PFT",3,14,7
8,"LV","PFT",3,17,9
9,"PIT","PFT",3,5,-4
10,"CAR","PFT",3,20,10
11,"GB","PFT",3,15,4
12,"CLE","PFT",3,7,-5
13,"NE","PFT",3,13,0
14,"NO","PFT",3,4,-10
15,"DAL","PFT",3,16,1
16,"LAC","PFT",3,8,-8
17,"TEN","PFT",3,19,2
18,"DEN","PFT",3,18,0
19,"SEA","PFT",3,10,-9
20,"MIA","PFT",3,12,-8
21,"WAS","PFT",3,22,1
22,"CHI","PFT",3,26,4
23,"CIN","PFT",3,21,-2
24,"MIN","PFT",3,23,-1
25,"PHI","PFT",3,25,0
26,"NYG","PFT",3,27,1
27,"IND","PFT",3,24,-3
28,"HOU","PFT",3,28,0
29,"DET","PFT",3,31,2
30,"ATL","PFT",3,29,-1
31,"NYJ","PFT",3,30,-1
32,"JAX","PFT",3,32,0
1,"TB","USA",3,1,0
2,"LA","USA",3,3,1
3,"KC","USA",3,2,-1
4,"CLE","USA",3,4,0
5,"ARI","USA",3,7,2
6,"LV","USA",3,16,10
7,"BAL","USA",3,18,11
8,"PIT","USA",3,8,0
9,"BUF","USA",3,10,1
10,"DAL","USA",3,9,-1
11,"SF","USA",3,11,0
12,"TEN","USA",3,19,7
13,"SEA","USA",3,6,-7
14,"CAR","USA",3,23,9
15,"NO","USA",3,5,-10
16,"GB","USA",3,14,-2
17,"DEN","USA",3,15,-2
18,"LAC","USA",3,13,-5
19,"MIA","USA",3,12,-7
20,"NE","USA",3,17,-3
21,"WAS","USA",3,21,0
22,"PHI","USA",3,22,0
23,"CHI","USA",3,26,3
24,"CIN","USA",3,20,-4
25,"MIN","USA",3,24,-1
26,"IND","USA",3,25,-1
27,"NYG","USA",3,30,3
28,"HOU","USA",3,27,-1
29,"DET","USA",3,29,0
30,"NYJ","USA",3,28,-2
31,"ATL","USA",3,31,0
32,"JAX","USA",3,32,0
1,"TB","WaPo",3,1,0
2,"LA","WaPo",3,3,1
3,"BUF","WaPo",3,7,4
4,"SF","WaPo",3,9,5
5,"KC","WaPo",3,2,-3
6,"CLE","WaPo",3,6,0
7,"GB","WaPo",3,11,4
8,"ARI","WaPo",3,12,4
9,"LV","WaPo",3,18,9
10,"BAL","WaPo",3,19,9
11,"NE","WaPo",3,13,2
12,"DAL","WaPo",3,14,2
13,"TEN","WaPo",3,16,3
14,"CAR","WaPo",3,17,3
15,"NO","WaPo",3,4,-11
16,"PIT","WaPo",3,5,-11
17,"LAC","WaPo",3,15,-2
18,"SEA","WaPo",3,10,-8
19,"DEN","WaPo",3,22,3
20,"WAS","WaPo",3,23,3
21,"CHI","WaPo",3,25,4
22,"MIA","WaPo",3,8,-14
23,"PHI","WaPo",3,20,-3
24,"CIN","WaPo",3,21,-3
25,"IND","WaPo",3,24,-1
26,"MIN","WaPo",3,26,0
27,"HOU","WaPo",3,27,0
28,"NYG","WaPo",3,28,0
29,"ATL","WaPo",3,29,0
30,"DET","WaPo",3,30,0
31,"NYJ","WaPo",3,31,0
32,"JAX","WaPo",3,32,0
1,"TB","Yahoo",3,2,1
2,"SF","Yahoo",3,3,1
3,"LA","Yahoo",3,4,1
4,"KC","Yahoo",3,1,-3
5,"ARI","Yahoo",3,6,1
6,"SEA","Yahoo",3,5,-1
7,"LV","Yahoo",3,17,10
8,"BAL","Yahoo",3,12,4
9,"DEN","Yahoo",3,16,7
10,"PIT","Yahoo",3,8,-2
11,"BUF","Yahoo",3,9,-2
12,"CLE","Yahoo",3,11,-1
13,"GB","Yahoo",3,14,1
14,"CAR","Yahoo",3,22,8
15,"MIA","Yahoo",3,13,-2
16,"NE","Yahoo",3,15,-1
17,"LAC","Yahoo",3,10,-7
18,"NO","Yahoo",3,7,-11
19,"TEN","Yahoo",3,18,-1
20,"DAL","Yahoo",3,19,-1
21,"WAS","Yahoo",3,20,-1
22,"IND","Yahoo",3,21,-1
23,"CHI","Yahoo",3,26,3
24,"PHI","Yahoo",3,23,-1
25,"CIN","Yahoo",3,24,-1
26,"MIN","Yahoo",3,25,-1
27,"NYG","Yahoo",3,27,0
28,"ATL","Yahoo",3,29,1
29,"DET","Yahoo",3,30,1
30,"NYJ","Yahoo",3,28,-2
31,"HOU","Yahoo",3,31,0
32,"JAX","Yahoo",3,32,0
1,"LA","BR",4,3,2
2,"TB","BR",4,1,-1
3,"ARI","BR",4,4,1
4,"CLE","BR",4,6,2
5,"LAC","BR",4,9,4
6,"BUF","BR",4,7,1
7,"KC","BR",4,2,-5
8,"BAL","BR",4,5,-3
9,"DEN","BR",4,12,3
10,"GB","BR",4,13,3
11,"DAL","BR",4,11,0
12,"CAR","BR",4,16,4
